Election,BTVA_found,ATVA_found,Improvement
1,1,0,0
2,0,0,0
3,1,0,0
4,1,0,0
5,1,0,0
6,0,0,0
7,1,0,0
8,0,0,0
9,1,0,0
10,1,0,0
11,1,0,0
12,1,1,0.04999999999999999
13,0,0,0
14,1,0,0
15,0,0,0
16,1,1,0.0733333333333333
17,1,0,0
18,0,0,0
19,1,0,0
20,0,0,0
21,0,1,0.15190476190476193
22,1,1,0.10666666666666674
23,1,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,1,0,0
28,1,1,0.06666666666666671
29,1,1,0.10000000000000003
30,1,0,0
31,1,0,0
32,1,1,0.2404761904761905
33,0,0,0
34,1,0,0
35,1,0,0
36,0,0,0
37,1,0,0
38,0,0,0
39,1,1,0.011428571428571455
40,1,0,0
41,1,0,0
42,1,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,1,0,0
47,1,1,0.06809523809523804
48,1,0,0
49,0,0,0
50,1,1,0.02857142857142858
