Election,BTVA_found,ATVA_found,Improvement
1,1,1,0.10999999999999999
2,0,0,0
3,1,1,0.050000000000000044
4,0,0,0
5,0,0,0
6,0,0,0
7,1,1,0.19000000000000006
8,0,1,0.026666666666666616
9,1,1,0.09999999999999998
10,1,1,0.08999999999999997
11,0,0,0
12,1,1,0.21999999999999997
13,0,0,0
14,0,0,0
15,1,0,0
16,1,1,0.1166666666666667
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,1,0,0
23,0,0,0
24,1,1,0.16000000000000003
25,1,1,0.29333333333333333
26,1,1,0.16000000000000003
27,1,0,0
28,1,1,0.31666666666666676
29,0,1,0.08333333333333337
30,0,0,0
31,0,0,0
32,1,1,0.040000000000000036
33,1,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,1,1,0.016666666666666607
38,1,0,0
39,1,1,0.043333333333333335
40,1,1,0.18999999999999995
41,1,0,0
42,1,0,0
43,0,0,0
44,1,1,0.22666666666666668
45,0,1,0.016666666666666607
46,1,0,0
47,0,0,0
48,0,0,0
49,1,0,0
50,1,0,0
