Election,BTVA_found,ATVA_found,Improvement
1,1,1,0.07083333333333336
2,1,1,0.020833333333333315
3,1,1,0.062499999999999944
4,1,0,0
5,1,1,0.47083333333333327
6,1,1,0.275
7,1,0,0
8,1,1,0.020833333333333315
9,0,0,0
10,1,1,0.029166666666666674
11,1,0,0
12,0,0,0
13,1,0,0
14,1,1,0.3791666666666667
15,1,1,0.12500000000000006
16,1,0,0
17,0,0,0
18,0,0,0
19,1,0,0
20,1,1,0.575
21,1,1,0.14583333333333331
22,1,1,0.125
23,1,1,0.22083333333333327
24,0,0,0
25,0,0,0
26,1,1,0.1875
27,1,1,0.1166666666666667
28,1,0,0
29,1,1,0.3041666666666667
30,1,1,0.3208333333333333
31,0,0,0
32,1,0,0
33,1,1,0.4375
34,1,0,0
35,0,0,0
36,1,1,0.09166666666666665
37,1,1,0.02916666666666662
38,0,0,0
39,1,0,0
40,1,1,0.23750000000000002
41,1,1,0.325
42,1,1,0.13333333333333336
43,1,1,0.16666666666666674
44,0,0,0
45,0,0,0
46,1,1,0.0625
47,1,1,0.08333333333333331
48,1,1,0.3041666666666667
49,0,0,0
50,1,0,0
