Election,BTVA_found,ATVA_found,Improvement
1,1,1,0.041666666666666685
2,1,1,0.06388888888888888
3,1,1,0.0222222222222222
4,1,0,0
5,1,1,0.35
6,1,0,0
7,1,0,0
8,1,1,0.2638888888888889
9,1,0,0
10,1,1,0.17222222222222225
11,1,1,0.26388888888888884
12,0,1,0.12222222222222229
13,1,0,0
14,1,1,0.09166666666666673
15,1,0,0
16,1,1,0.0944444444444445
17,1,0,0
18,1,0,0
19,1,0,0
20,0,0,0
21,1,1,0.07500000000000001
22,1,0,0
23,1,0,0
24,0,0,0
25,1,1,0.06666666666666665
26,1,1,0.2277777777777778
27,0,1,0.2527777777777777
28,1,1,0.013888888888888895
29,1,1,0.35
30,1,0,0
31,1,1,0.29999999999999993
32,1,1,0.05833333333333335
33,1,1,0.17499999999999993
34,1,1,0.07222222222222219
35,1,0,0
36,1,1,0.38888888888888884
37,1,0,0
38,1,0,0
39,1,1,0.11111111111111105
40,1,1,0.2555555555555556
41,1,1,0.1111111111111111
42,1,1,0.13888888888888895
43,1,0,0
44,1,1,0.39444444444444443
45,1,1,0.1750000000000001
46,1,1,0.08888888888888896
47,1,0,0
48,1,1,0.1833333333333333
49,1,1,0.2694444444444445
50,1,1,0.10277777777777775
