Election,BTVA_found,ATVA_found,Improvement
1,0,0,0
2,0,0,0
3,1,0,0
4,0,1,0.016666666666666607
5,0,0,0
6,0,0,0
7,1,1,0.08333333333333348
8,0,1,0.10714285714285698
9,1,0,0
10,0,0,0
11,1,0,0
12,0,1,0.1690476190476191
13,0,0,0
14,0,0,0
15,0,1,0.04761904761904767
16,0,0,0
17,1,1,0.08333333333333331
18,0,0,0
19,1,1,0.02619047619047621
20,0,0,0
21,0,1,0.028571428571428636
22,1,1,0.2095238095238095
23,0,0,0
24,0,1,0.11428571428571421
25,1,1,0.19047619047619052
26,1,0,0
27,0,0,0
28,1,0,0
29,1,0,0
30,1,1,0.02857142857142858
31,1,1,0.23333333333333328
32,1,1,0.04761904761904756
33,0,0,0
34,0,0,0
35,1,1,0.03571428571428581
36,0,0,0
37,1,0,0
38,0,0,0
39,1,0,0
40,1,1,0.13571428571428573
41,1,1,0.07857142857142851
42,1,1,0.009523809523809601
43,1,1,0.09761904761904772
44,1,0,0
45,0,1,0.011904761904761862
46,1,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,1,0,0
