Election,BTVA_found,ATVA_found,Improvement
1,1,0,0
2,0,0,0
3,1,1,0.022222222222222254
4,1,0,0
5,1,0,0
6,0,0,0
7,1,0,0
8,1,0,0
9,1,0,0
10,1,0,0
11,0,0,0
12,1,1,0.09722222222222227
13,1,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,1,0,0
21,0,0,0
22,1,0,0
23,0,0,0
24,1,1,0.0222222222222222
25,0,0,0
26,1,0,0
27,0,0,0
28,0,0,0
29,1,1,0.09166666666666667
30,1,0,0
31,1,1,0.047222222222222276
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,1,0,0
42,0,0,0
43,1,0,0
44,0,0,0
45,1,0,0
46,1,1,0.125
47,0,0,0
48,1,0,0
49,1,1,0.11944444444444441
50,1,0,0
