Election,BTVA_found,ATVA_found,Improvement
1,1,1,0.10416666666666674
2,0,0,0
3,1,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,1,0,0
8,1,0,0
9,1,0,0
10,1,0,0
11,1,0,0
12,0,0,0
13,0,0,0
14,1,1,0.04166666666666674
15,1,0,0
16,1,1,0.08333333333333337
17,1,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,1,0,0
22,1,0,0
23,1,1,0.050000000000000044
24,1,0,0
25,1,1,0.16666666666666669
26,1,1,0.11250000000000016
27,1,0,0
28,1,0,0
29,1,0,0
30,0,0,0
31,0,0,0
32,1,1,0.09166666666666667
33,1,0,0
34,1,1,0.0625
35,1,0,0
36,0,0,0
37,0,0,0
38,1,0,0
39,0,0,0
40,1,0,0
41,1,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,1,0,0
46,1,0,0
47,1,1,0.02083333333333337
48,0,0,0
49,1,1,0.13333333333333341
50,0,0,0
