Election,BTVA_found,ATVA_found,Improvement
1,0,0,0
2,0,0,0
3,1,1,0.054166666666666585
4,1,0,0
5,1,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,1,0,0
10,1,1,0.06666666666666665
11,0,0,0
12,0,0,0
13,1,0,0
14,0,0,0
15,1,1,0.07500000000000001
16,0,0,0
17,0,0,0
18,0,0,0
19,1,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,1,1,0.033333333333333326
25,1,0,0
26,1,0,0
27,1,1,0.0625
28,0,0,0
29,1,1,0.11666666666666664
30,1,0,0
31,0,0,0
32,0,0,0
33,1,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,1,0,0
38,1,0,0
39,0,0,0
40,0,0,0
41,1,1,0.16666666666666657
42,0,0,0
43,0,0,0
44,1,0,0
45,1,0,0
46,1,1,0.0708333333333333
47,0,0,0
48,1,1,0.0625
49,1,0,0
50,1,0,0
