Election,BTVA_found,ATVA_found,Improvement
1,0,0,0
2,0,0,0
3,1,1,0.019444444444444375
4,0,1,0.011111111111111183
5,0,0,0
6,0,0,0
7,1,1,0.05555555555555558
8,1,1,0.04166666666666652
9,1,0,0
10,1,1,0.033333333333333215
11,1,1,0.005555555555555536
12,0,0,0
13,0,0,0
14,0,1,0.06111111111111123
15,1,1,0.041666666666666796
16,0,0,0
17,1,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,1,0,0
22,0,0,0
23,0,0,0
24,1,0,0
25,0,0,0
26,1,0,0
27,1,1,0.01388888888888895
28,1,0,0
29,0,1,0.03888888888888886
30,1,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,1,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,1,0,0
39,1,0,0
40,1,1,0.011111111111111183
41,0,0,0
42,1,1,0.06111111111111117
43,1,0,0
44,0,0,0
45,0,0,0
46,1,0,0
47,1,0,0
48,0,0,0
49,1,0,0
50,0,0,0
