Election,BTVA_found,ATVA_found,Improvement
1,1,0,0
2,1,1,0.22222222222222238
3,1,1,0.04722222222222233
4,1,0,0
5,0,0,0
6,1,1,0.3194444444444445
7,0,0,0
8,0,0,0
9,1,1,0.19444444444444442
10,1,0,0
11,1,0,0
12,0,0,0
13,1,0,0
14,1,0,0
15,1,1,0.14444444444444454
16,1,0,0
17,1,1,0.06944444444444448
18,0,0,0
19,1,0,0
20,0,0,0
21,1,1,0.08333333333333343
22,1,0,0
23,1,0,0
24,1,0,0
25,1,0,0
26,0,1,0.033333333333333326
27,1,1,0.12500000000000006
28,1,0,0
29,1,1,0.02777777777777779
30,0,0,0
31,0,0,0
32,1,0,0
33,1,0,0
34,1,1,0.047222222222222165
35,1,0,0
36,1,1,0.3333333333333335
37,1,1,0.2555555555555556
38,1,1,0.04166666666666663
39,1,1,0.0277777777777779
40,1,1,0.12499999999999994
41,1,1,0.1388888888888889
42,1,1,0.08888888888888896
43,1,1,0.1805555555555557
44,1,0,0
45,0,0,0
46,1,0,0
47,1,1,0.04166666666666663
48,1,0,0
49,1,1,0.02777777777777779
50,1,0,0
