Election,BTVA_found,ATVA_found,Improvement
1,1,0,0
2,0,0,0
3,1,0,0
4,0,0,0
5,1,0,0
6,1,0,0
7,0,0,0
8,1,0,0
9,1,0,0
10,0,0,0
11,1,1,0.29166666666666674
12,1,0,0
13,0,0,0
14,1,1,0.5416666666666667
15,1,0,0
16,0,0,0
17,1,0,0
18,1,1,0.0625
19,0,0,0
20,1,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,1,1,0.125
25,1,0,0
26,1,1,0.0625
27,1,0,0
28,1,1,0.10416666666666663
29,0,0,0
30,1,1,0.29166666666666663
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,1,1,0.29166666666666663
36,1,0,0
37,0,0,0
38,1,1,0.10416666666666674
39,1,1,0.020833333333333315
40,0,0,0
41,1,0,0
42,0,0,0
43,0,0,0
44,1,1,0.2500000000000001
45,0,0,0
46,1,1,0.20833333333333331
47,0,0,0
48,1,0,0
49,0,0,0
50,1,1,1.1102230246251565e-16
