Election,BTVA_found,ATVA_found,Improvement
1,1,1,0.14722222222222225
2,1,0,0
3,1,1,0.04999999999999999
4,1,1,0.04722222222222222
5,1,0,0
6,1,1,0.25000000000000006
7,1,0,0
8,0,0,0
9,1,0,0
10,0,0,0
11,1,0,0
12,0,0,0
13,1,0,0
14,0,0,0
15,0,0,0
16,1,1,0.15277777777777785
17,1,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,1,1,0.1527777777777778
22,1,1,0.08055555555555566
23,0,0,0
24,0,0,0
25,1,1,0.20277777777777767
26,1,1,0.008333333333333193
27,0,0,0
28,1,0,0
29,0,0,0
30,1,0,0
31,1,1,0.06944444444444442
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,1,0,0
37,0,0,0
38,1,1,0.20000000000000007
39,1,0,0
40,0,0,0
41,0,0,0
42,1,0,0
43,0,1,0.06944444444444464
44,1,0,0
45,0,0,0
46,0,0,0
47,1,1,0.019444444444444375
48,1,0,0
49,0,0,0
50,1,0,0
