Election,BTVA_found,ATVA_found,Improvement
1,1,0,0
2,0,0,0
3,1,1,0.011904761904761973
4,0,0,0
5,0,0,0
6,0,0,0
7,1,0,0
8,1,0,0
9,1,1,0.03333333333333344
10,1,0,0
11,0,0,0
12,1,1,0.09523809523809529
13,1,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,1,0,0
21,0,0,0
22,1,1,0.02857142857142858
23,0,0,0
24,1,1,0.04047619047619044
25,0,0,0
26,1,1,0.004761904761904856
27,1,0,0
28,0,0,0
29,1,1,0.06666666666666671
30,1,1,0.07857142857142868
31,1,1,0.05238095238095242
32,0,0,0
33,0,0,0
34,0,0,0
35,1,1,0.14523809523809528
36,1,0,0
37,0,0,0
38,1,0,0
39,0,0,0
40,0,0,0
41,1,0,0
42,1,1,0.0357142857142857
43,1,0,0
44,0,0,0
45,1,1,0.04761904761904756
46,1,1,0.02380952380952378
47,1,0,0
48,1,1,0.02380952380952378
49,1,1,0.054761904761904734
50,1,1,0.02857142857142858
