Election,BTVA_found,ATVA_found,Improvement
1,0,0,0
2,0,0,0
3,1,0,0
4,0,0,0
5,1,1,0.01666666666666672
6,1,0,0
7,1,1,0.08197278911564626
8,0,1,0.053401360544217624
9,0,0,0
10,1,0,0
11,0,0,0
12,1,1,0.039115646258503445
13,0,0,0
14,0,0,0
15,1,1,0.013265306122448917
16,1,0,0
17,1,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,1,0,0
22,1,0,0
23,1,0,0
24,0,0,0
25,1,0,0
26,1,1,0.06292517006802728
27,0,0,0
28,0,0,0
29,1,1,0.07108843537414966
30,0,0,0
31,1,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,1,0,0
36,1,1,0.0976190476190476
37,1,1,0.0037414965986394266
38,0,0,0
39,1,0,0
40,0,0,0
41,1,1,0.0714285714285714
42,1,1,0.06530612244897954
43,1,0,0
44,0,0,0
45,0,0,0
46,1,0,0
47,1,0,0
48,1,1,0.04999999999999993
49,0,0,0
50,1,0,0
