Election,BTVA_found,ATVA_found,Improvement
1,1,0,0
2,1,1,0.21666666666666667
3,1,0,0
4,1,0,0
5,1,1,0.09333333333333332
6,1,1,0.18333333333333324
7,1,1,0.20000000000000007
8,0,0,0
9,1,1,0.03333333333333327
10,1,0,0
11,1,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,1,1,0.023333333333333373
16,1,1,0.19333333333333336
17,1,1,0.030000000000000027
18,0,0,0
19,1,1,0.22000000000000003
20,0,0,0
21,1,0,0
22,0,0,0
23,1,1,0.3266666666666667
24,1,0,0
25,1,1,0.44333333333333336
26,1,0,0
27,1,0,0
28,0,0,0
29,1,0,0
30,1,1,0.026666666666666672
31,1,0,0
32,1,1,0.37666666666666665
33,0,0,0
34,1,0,0
35,1,0,0
36,1,0,0
37,1,0,0
38,1,0,0
39,1,1,0.22666666666666674
40,1,1,0.4766666666666668
41,1,1,0.05999999999999994
42,0,0,0
43,1,1,0.4000000000000001
44,1,1,0.19000000000000006
45,0,0,0
46,1,1,0.06666666666666665
47,1,0,0
48,0,0,0
49,1,0,0
50,1,0,0
