Election,BTVA_found,ATVA_found,Improvement
1,1,0,0
2,0,0,0
3,0,0,0
4,1,0,0
5,1,0,0
6,1,0,0
7,1,0,0
8,1,1,0.02777777777777779
9,1,1,0.06944444444444442
10,1,0,0
11,0,0,0
12,1,1,0.01388888888888884
13,1,0,0
14,0,0,0
15,1,1,0.01388888888888895
16,1,1,0.125
17,1,1,0.01388888888888884
18,0,0,0
19,0,0,0
20,1,1,0.01388888888888895
21,0,0,0
22,1,0,0
23,0,0,0
24,1,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,1,1,0.04166666666666674
29,0,0,0
30,0,0,0
31,0,0,0
32,1,1,1.1102230246251565e-16
33,0,0,0
34,0,0,0
35,1,1,0.05555555555555547
36,0,0,0
37,1,1,0.0277777777777779
38,1,1,0.05555555555555547
39,0,0,0
40,1,1,0.04166666666666663
41,0,0,0
42,0,0,0
43,0,0,0
44,1,1,0.01388888888888895
45,0,0,0
46,0,0,0
47,0,0,0
48,1,1,0.06944444444444442
49,0,0,0
50,0,0,0
