Election,BTVA_found,ATVA_found,Improvement
1,0,0,0
2,0,0,0
3,1,1,0.09333333333333338
4,0,0,0
5,1,0,0
6,0,0,0
7,0,0,0
8,1,1,0.024761904761904763
9,1,0,0
10,1,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,1,0,0
16,1,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,1,0,0
22,1,0,0
23,1,0,0
24,0,0,0
25,1,1,0.07666666666666677
26,0,0,0
27,0,0,0
28,1,0,0
29,1,0,0
30,1,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,1,1,0.0766666666666666
35,0,0,0
36,0,0,0
37,1,1,0.016666666666666607
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,1,1,0.05333333333333323
43,0,0,0
44,0,0,0
45,1,1,0.011428571428571455
46,0,0,0
47,1,0,0
48,1,0,0
49,0,0,0
50,1,1,0.12142857142857139
