Election,BTVA_found,ATVA_found,Improvement
1,0,0,0
2,0,0,0
3,1,1,0.022222222222222143
4,1,0,0
5,0,0,0
6,0,0,0
7,1,0,0
8,1,1,0.04166666666666663
9,0,0,0
10,1,0,0
11,1,1,0.005555555555555536
12,1,0,0
13,0,0,0
14,0,0,0
15,1,1,0.011111111111111072
16,0,0,0
17,1,1,0.06944444444444442
18,0,0,0
19,1,1,0.05833333333333335
20,1,1,0.1416666666666666
21,1,0,0
22,0,0,0
23,1,1,0.08611111111111103
24,0,0,0
25,0,0,0
26,1,1,0.033333333333333326
27,1,1,0.01388888888888895
28,0,0,0
29,1,0,0
30,1,1,0.01388888888888884
31,0,0,0
32,1,1,0.002777777777777768
33,0,0,0
34,1,0,0
35,1,1,0.04999999999999993
36,0,0,0
37,1,1,0.04166666666666663
38,1,1,0.04166666666666663
39,1,1,0.0277777777777779
40,1,0,0
41,1,0,0
42,1,0,0
43,0,0,0
44,0,0,0
45,0,1,1.1102230246251565e-16
46,0,0,0
47,1,1,0.04166666666666663
48,1,0,0
49,1,0,0
50,1,0,0
