Election,BTVA_found,ATVA_found,Improvement
1,0,1,0.011904761904762085
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,1,1,0.011904761904761973
7,1,1,0.05952380952380942
8,1,0,0
9,0,0,0
10,1,0,0
11,0,0,0
12,1,0,0
13,1,1,0.023809523809523836
14,0,0,0
15,1,0,0
16,0,0,0
17,0,0,0
18,1,1,0.023809523809523836
19,0,1,0.023809523809524058
20,1,0,0
21,1,0,0
22,1,1,0.023809523809523725
23,1,1,0.011904761904761862
24,1,1,0.04761904761904756
25,1,0,0
26,0,0,0
27,1,1,0.03571428571428581
28,1,0,0
29,1,0,0
30,0,0,0
31,1,1,0.10714285714285698
32,1,1,0.09523809523809534
33,0,0,0
34,0,0,0
35,0,0,0
36,1,0,0
37,1,0,0
38,1,1,0.04761904761904778
39,0,0,0
40,0,0,0
41,0,0,0
42,1,1,0.10714285714285698
43,0,0,0
44,1,1,0.1071428571428572
45,0,0,0
46,1,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
