Election,BTVA_found,ATVA_found,Improvement
1,1,1,0.14285714285714285
2,0,0,0
3,1,1,0.03809523809523807
4,1,0,0
5,1,1,0.2571428571428572
6,1,0,0
7,1,0,0
8,1,1,0.2619047619047618
9,1,0,0
10,1,1,0.25476190476190474
11,1,1,0.20714285714285716
12,1,0,0
13,1,0,0
14,1,1,0.04285714285714293
15,1,0,0
16,1,0,0
17,1,0,0
18,1,0,0
19,1,0,0
20,0,0,0
21,1,1,0.10714285714285715
22,1,0,0
23,1,1,0.04047619047619044
24,1,0,0
25,1,1,0.0761904761904762
26,1,1,0.2190476190476191
27,0,1,0.25238095238095243
28,1,1,0.12619047619047613
29,1,1,0.2571428571428572
30,1,0,0
31,0,0,0
32,1,0,0
33,1,1,0.22142857142857136
34,1,0,0
35,1,0,0
36,1,1,0.37619047619047613
37,1,0,0
38,1,0,0
39,1,1,0.10238095238095224
40,1,1,0.33333333333333337
41,1,1,0.030952380952380898
42,1,1,0.11190476190476195
43,1,0,0
44,1,1,0.3738095238095238
45,1,1,0.19761904761904775
46,1,1,0.14761904761904776
47,1,0,0
48,1,1,0.04999999999999993
49,1,1,0.23809523809523808
50,1,0,0
