Election,BTVA_found,ATVA_found,Improvement
1,0,0,0
2,0,0,0
3,0,0,0
4,1,0,0
5,0,0,0
6,0,0,0
7,0,1,0.05952380952380942
8,0,0,0
9,1,0,0
10,1,1,0.023809523809523725
11,1,1,0.16666666666666669
12,0,0,0
13,1,1,0.023809523809523836
14,1,1,0.5
15,1,1,0.08333333333333348
16,1,0,0
17,1,0,0
18,1,0,0
19,0,0,0
20,1,0,0
21,1,0,0
22,1,1,0.023809523809523725
23,1,1,0.09523809523809523
24,1,1,0.04761904761904756
25,0,0,0
26,0,0,0
27,1,0,0
28,1,0,0
29,0,0,0
30,0,0,0
31,1,0,0
32,0,0,0
33,1,0,0
34,0,0,0
35,1,1,0.23809523809523808
36,1,1,0.13095238095238093
37,1,1,0.04761904761904756
38,0,0,0
39,1,0,0
40,1,0,0
41,1,1,0.023809523809523725
42,0,0,0
43,1,1,0.15476190476190488
44,0,1,0.1071428571428572
45,0,0,0
46,1,1,0.21428571428571436
47,1,0,0
48,1,0,0
49,1,0,0
50,1,0,0
