Election,BTVA_found,ATVA_found,Improvement
1,1,0,0
2,1,0,0
3,1,0,0
4,0,0,0
5,0,0,0
6,0,1,0.18333333333333324
7,0,0,0
8,0,0,0
9,1,0,0
10,1,0,0
11,1,0,0
12,0,0,0
13,1,1,0.08333333333333337
14,0,0,0
15,0,0,0
16,1,1,0.19333333333333336
17,1,1,0.2433333333333333
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,1,0,0
26,1,0,0
27,0,0,0
28,1,0,0
29,0,0,0
30,1,0,0
31,0,0,0
32,1,0,0
33,0,0,0
34,0,0,0
35,0,1,0.016666666666666607
36,0,0,0
37,1,0,0
38,1,1,0.14000000000000018
39,1,0,0
40,0,0,0
41,1,0,0
42,1,1,0.21000000000000008
43,1,1,0.13333333333333341
44,0,0,0
45,0,1,0.14000000000000007
46,0,0,0
47,1,1,0.050000000000000044
48,0,0,0
49,1,1,0.01666666666666672
50,0,0,0
