Election,BTVA_found,ATVA_found,Improvement
1,1,0,0
2,1,1,0.24166666666666664
3,1,0,0
4,1,0,0
5,1,0,0
6,1,0,0
7,0,0,0
8,0,0,0
9,1,0,0
10,1,0,0
11,1,0,0
12,0,0,0
13,1,0,0
14,0,0,0
15,1,1,0.10416666666666669
16,1,1,0.4291666666666667
17,1,1,0.18749999999999994
18,0,0,0
19,1,1,0.29583333333333334
20,1,1,0.36666666666666675
21,1,1,0.029166666666666674
22,0,0,0
23,1,1,0.2833333333333333
24,0,0,0
25,1,1,0.29166666666666674
26,1,0,0
27,1,0,0
28,1,1,0.5041666666666667
29,0,0,0
30,1,1,0.02083333333333337
31,1,0,0
32,1,1,0.44999999999999996
33,0,0,0
34,1,0,0
35,1,1,0.40833333333333327
36,1,0,0
37,0,0,0
38,1,1,0.13333333333333341
39,1,0,0
40,1,1,0.08333333333333337
41,1,1,0.10833333333333328
42,0,0,0
43,1,1,0.45833333333333337
44,1,0,0
45,1,1,0.20833333333333343
46,0,0,0
47,1,0,0
48,0,0,0
49,1,0,0
50,1,0,0
