Election,BTVA_found,ATVA_found,Improvement
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,1,0,0
6,0,0,0
7,0,0,0
8,1,1,0.2333333333333334
9,1,1,0.016666666666666607
10,0,0,0
11,0,0,0
12,0,0,0
13,1,0,0
14,1,1,0.5666666666666667
15,1,1,0.016666666666666607
16,1,0,0
17,1,0,0
18,1,1,0.1499999999999999
19,0,0,0
20,1,0,0
21,1,1,0.08333333333333326
22,0,0,0
23,0,0,0
24,1,0,0
25,1,1,0.11666666666666664
26,0,0,0
27,1,0,0
28,1,0,0
29,0,0,0
30,1,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,1,1,0.26666666666666666
36,1,1,0.11666666666666659
37,1,1,0.16666666666666669
38,1,0,0
39,1,1,0.11666666666666659
40,0,0,0
41,1,0,0
42,0,0,0
43,1,1,0.18333333333333335
44,0,0,0
45,0,0,0
46,1,1,0.2
47,1,1,0.11666666666666659
48,1,1,0.033333333333333326
49,0,0,0
50,1,1,0.03333333333333344
