Election,BTVA_found,ATVA_found,Improvement
1,1,1,0.027777777777777846
2,1,1,0.27777777777777773
3,1,0,0
4,1,0,0
5,0,0,0
6,1,1,0.1916666666666666
7,1,1,0.15277777777777785
8,1,0,0
9,1,1,0.03611111111111104
10,1,1,0.08055555555555555
11,1,0,0
12,1,0,0
13,1,1,0.027777777777777735
14,1,0,0
15,1,1,0.01944444444444443
16,1,1,0.15277777777777785
17,1,0,0
18,1,0,0
19,1,0,0
20,0,0,0
21,1,1,0.09999999999999992
22,1,0,0
23,1,1,0.4055555555555555
24,1,1,0.10833333333333339
25,1,1,0.25833333333333325
26,1,0,0
27,1,0,0
28,1,1,0.11666666666666672
29,1,0,0
30,0,0,0
31,0,0,0
32,1,1,0.4249999999999999
33,1,0,0
34,1,0,0
35,1,1,0.036111111111111094
36,1,0,0
37,1,0,0
38,1,0,0
39,1,1,0.055555555555555636
40,1,0,0
41,1,0,0
42,1,1,0.002777777777777768
43,1,1,0.20833333333333354
44,1,1,0.2916666666666667
45,0,0,0
46,1,0,0
47,1,0,0
48,0,0,0
49,1,0,0
50,1,0,0
