Election,BTVA_found,ATVA_found,Improvement
1,1,1,0.029166666666666674
2,0,0,0
3,1,1,0.062499999999999944
4,0,0,0
5,0,0,0
6,1,0,0
7,1,1,0.13095238095238093
8,0,0,0
9,0,0,0
10,1,0,0
11,0,0,0
12,1,1,0.062499999999999944
13,0,0,0
14,0,0,0
15,1,1,0.0267857142857143
16,1,1,0.047619047619047616
17,0,0,0
18,0,0,0
19,1,1,0.008333333333333304
20,0,0,0
21,0,0,0
22,0,0,0
23,1,0,0
24,1,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,1,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,1,1,0.033333333333333326
35,1,1,0.035714285714285754
36,0,0,0
37,1,1,0.02916666666666662
38,1,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,1,0,0
43,0,0,0
44,0,0,0
45,1,1,0.14583333333333337
46,0,0,0
47,1,0,0
48,1,0,0
49,0,0,0
50,1,1,0.06845238095238093
