Election,BTVA_found,ATVA_found,Improvement
1,1,1,0.20000000000000007
2,0,0,0
3,1,1,0.09333333333333338
4,0,0,0
5,1,0,0
6,0,0,0
7,1,1,0.06666666666666676
8,1,0,0
9,1,0,0
10,0,1,0.07809523809523816
11,1,0,0
12,1,1,0.16523809523809524
13,0,0,0
14,0,0,0
15,1,1,0.14809523809523817
16,1,1,0.09476190476190477
17,0,0,0
18,0,0,0
19,0,0,0
20,1,0,0
21,0,0,0
22,1,1,0.21142857142857147
23,1,1,0.20523809523809516
24,0,0,0
25,1,0,0
26,1,0,0
27,1,1,0.31000000000000005
28,0,0,0
29,0,0,0
30,1,1,0.1233333333333333
31,0,0,0
32,1,0,0
33,0,0,0
34,1,0,0
35,0,1,0.1266666666666666
36,0,0,0
37,1,1,0.005238095238095208
38,0,0,0
39,0,1,0.011428571428571455
40,0,0,0
41,0,0,0
42,1,1,0.05333333333333323
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,1,1,0.07380952380952377
48,0,1,0.088095238095238
49,1,0,0
50,0,0,0
