Election,BTVA_found,ATVA_found,Improvement
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,1,1,0.08333333333333348
6,1,1,0.09722222222222215
7,0,1,0.04166666666666674
8,0,0,0
9,0,0,0
10,1,0,0
11,1,1,0.15277777777777768
12,1,0,0
13,0,0,0
14,0,0,0
15,1,1,0.01388888888888895
16,0,0,0
17,1,0,0
18,0,1,0.01388888888888895
19,0,0,0
20,1,1,0.01388888888888895
21,1,1,0.1527777777777778
22,0,0,0
23,1,1,0.04166666666666663
24,0,1,0.01388888888888884
25,1,0,0
26,1,1,0.04166666666666663
27,0,0,0
28,1,0,0
29,1,0,0
30,0,0,0
31,1,1,0.16666666666666652
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,1,1,0.04166666666666652
37,1,1,0.06944444444444453
38,1,0,0
39,0,0,0
40,1,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,1,1,0.02777777777777779
45,0,0,0
46,1,0,0
47,0,0,0
48,0,0,0
49,1,0,0
50,0,0,0
