Election,BTVA_found,ATVA_found,Improvement
1,0,0,0
2,1,1,0.050000000000000155
3,1,0,0
4,1,0,0
5,0,0,0
6,0,0,0
7,1,0,0
8,0,0,0
9,1,0,0
10,1,0,0
11,1,0,0
12,1,0,0
13,0,0,0
14,1,1,0.042857142857142816
15,1,1,0.047619047619047616
16,0,0,0
17,1,1,0.04047619047619044
18,0,0,0
19,1,1,0.06666666666666665
20,1,1,0.12857142857142845
21,1,1,0.038095238095238126
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,1,1,0.13571428571428573
28,0,0,0
29,1,1,0.08333333333333337
30,1,0,0
31,0,0,0
32,1,0,0
33,0,0,0
34,1,0,0
35,1,1,0.035714285714285754
36,0,0,0
37,1,1,0.02857142857142858
38,1,0,0
39,1,0,0
40,1,0,0
41,1,1,0.004761904761904745
42,1,0,0
43,1,0,0
44,0,0,0
45,1,1,0.03571428571428564
46,1,1,0.08571428571428569
47,0,0,0
48,1,0,0
49,1,0,0
50,1,1,0.03571428571428559
