Election,BTVA_found,ATVA_found,Improvement
1,0,1,0.011904761904762085
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,1,1,0.07142857142857145
7,1,1,0.05952380952380942
8,0,0,0
9,0,0,0
10,1,0,0
11,1,0,0
12,1,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,1,1,0.059523809523809534
18,0,1,0.023809523809523836
19,0,1,0.023809523809524058
20,1,0,0
21,1,1,0.08333333333333315
22,0,0,0
23,0,1,0.011904761904761862
24,1,1,0.09523809523809512
25,1,1,0.0714285714285714
26,1,0,0
27,0,1,0.03571428571428581
28,1,1,0.059523809523809534
29,1,0,0
30,0,0,0
31,0,1,0.10714285714285698
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,1,0,0
37,1,0,0
38,1,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,1,0,0
43,0,0,0
44,0,0,0
45,1,0,0
46,1,0,0
47,1,0,0
48,0,0,0
49,0,0,0
50,0,0,0
