Election,BTVA_found,ATVA_found,Improvement
1,1,0,0
2,0,0,0
3,1,1,0.0222222222222222
4,0,0,0
5,1,1,0.01388888888888884
6,1,0,0
7,1,0,0
8,1,1,0.14563492063492062
9,1,0,0
10,1,0,0
11,0,0,0
12,0,1,0.01785714285714285
13,0,0,0
14,1,1,0.10119047619047622
15,1,0,0
16,1,0,0
17,1,0,0
18,1,0,0
19,1,0,0
20,0,0,0
21,1,0,0
22,1,0,0
23,0,0,0
24,0,0,0
25,1,1,0.059920634920634985
26,1,1,0.017857142857142905
27,0,0,0
28,1,0,0
29,1,1,0.04166666666666663
30,1,0,0
31,1,0,0
32,0,0,0
33,1,0,0
34,1,0,0
35,0,0,0
36,1,0,0
37,0,0,0
38,0,0,0
39,1,0,0
40,1,0,0
41,1,0,0
42,1,1,0.0666666666666666
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,1,0,0
49,0,0,0
50,1,0,0
