Election,BTVA_found,ATVA_found,Improvement
1,1,0,0
2,0,0,0
3,1,0,0
4,1,0,0
5,1,0,0
6,1,1,0.07857142857142851
7,1,0,0
8,0,0,0
9,0,1,0.06428571428571433
10,1,0,0
11,1,1,0.1214285714285715
12,0,0,0
13,1,0,0
14,1,1,0.08571428571428574
15,1,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,1,0,0
20,0,1,0.052380952380952195
21,1,0,0
22,1,0,0
23,0,0,0
24,1,1,0.04047619047619044
25,0,0,0
26,1,1,0.004761904761904856
27,1,1,0.0714285714285714
28,0,0,0
29,1,1,0.05238095238095242
30,0,0,0
31,1,0,0
32,0,0,0
33,0,0,0
34,1,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,1,0,0
39,1,0,0
40,0,0,0
41,0,0,0
42,1,0,0
43,1,0,0
44,1,0,0
45,0,1,0.004761904761904745
46,1,0,0
47,1,1,0.0357142857142857
48,0,0,0
49,0,0,0
50,1,0,0
