Election,BTVA_found,ATVA_found,Improvement
1,1,1,0.07083333333333336
2,1,0,0
3,1,1,0.062499999999999944
4,0,0,0
5,0,0,0
6,1,0,0
7,0,0,0
8,1,1,0.0023809523809523725
9,0,0,0
10,0,0,0
11,0,0,0
12,0,1,0.0625
13,0,0,0
14,0,0,0
15,1,1,0.0267857142857143
16,1,1,0.047619047619047616
17,0,0,0
18,0,0,0
19,1,0,0
20,0,0,0
21,1,1,0.10654761904761911
22,1,1,0.28511904761904766
23,1,1,0.17261904761904756
24,0,0,0
25,0,0,0
26,0,0,0
27,1,0,0
28,1,0,0
29,0,0,0
30,1,1,0.2458333333333333
31,1,0,0
32,1,1,0.11309523809523808
33,0,0,0
34,0,0,0
35,1,1,0.06904761904761908
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,1,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,1,0.08333333333333331
48,0,0,0
49,0,0,0
50,1,1,0.005952380952380931
