Election,BTVA_found,ATVA_found,Improvement
1,1,1,0.10416666666666674
2,1,1,0.20833333333333337
3,0,0,0
4,1,0,0
5,1,1,0.5208333333333334
6,1,1,0.4791666666666667
7,0,0,0
8,0,0,0
9,1,0,0
10,1,1,0.02083333333333337
11,1,1,0.14583333333333337
12,0,0,0
13,0,0,0
14,1,1,0.2916666666666667
15,0,0,0
16,1,1,0.16666666666666674
17,1,1,0.10416666666666663
18,0,0,0
19,1,1,0.22916666666666663
20,1,0,0
21,1,1,0.14583333333333348
22,0,0,0
23,0,0,0
24,0,0,0
25,1,1,0.16666666666666669
26,1,1,0.062499999999999944
27,1,1,0.16666666666666674
28,0,0,0
29,1,1,0.27083333333333337
30,1,1,0.20833333333333326
31,1,0,0
32,1,0,0
33,1,0,0
34,1,1,0.0625
35,1,0,0
36,1,1,0.2916666666666667
37,1,1,0.12500000000000006
38,1,1,0.125
39,0,0,0
40,0,0,0
41,1,0,0
42,1,1,0.20833333333333337
43,1,1,0.41666666666666674
44,0,0,0
45,0,0,0
46,1,1,0.08333333333333331
47,1,1,0.10416666666666669
48,0,0,0
49,1,0,0
50,1,1,0.12499999999999994
