Election,BTVA_found,ATVA_found,Improvement
1,1,1,0.20000000000000007
2,0,0,0
3,1,1,0.09333333333333338
4,1,0,0
5,1,1,0.39333333333333326
6,1,1,0.38
7,1,0,0
8,1,1,0.15000000000000002
9,1,0,0
10,1,1,0.05666666666666664
11,0,0,0
12,0,0,0
13,1,0,0
14,1,1,0.17000000000000004
15,1,0,0
16,1,0,0
17,1,0,0
18,1,0,0
19,1,0,0
20,0,0,0
21,1,1,0.0566666666666667
22,1,1,0.10666666666666674
23,1,0,0
24,0,0,0
25,1,0,0
26,1,1,0.3000000000000001
27,1,1,0.03333333333333344
28,1,1,0.06666666666666671
29,1,1,0.36000000000000004
30,1,1,0.1233333333333333
31,1,1,0.19333333333333336
32,1,0,0
33,1,1,0.34333333333333327
34,1,1,0.0033333333333332993
35,0,0,0
36,1,1,0.22333333333333327
37,1,1,0.016666666666666607
38,0,0,0
39,1,0,0
40,1,1,0.3566666666666667
41,1,1,0.29333333333333333
42,1,1,0.09666666666666679
43,1,1,0.20000000000000012
44,1,1,0.37333333333333346
45,1,1,0.18333333333333335
46,1,1,0.09333333333333332
47,1,0,0
48,1,1,0.2599999999999999
49,1,1,0.16000000000000003
50,1,0,0
