Election,BTVA_found,ATVA_found,Improvement
1,1,1,0.21000000000000002
2,1,0,0
3,1,0,0
4,1,0,0
5,1,1,0.19333333333333336
6,1,0,0
7,1,0,0
8,0,0,0
9,1,1,0.06666666666666687
10,1,0,0
11,1,1,0.24666666666666676
12,1,0,0
13,1,1,0.08333333333333337
14,1,0,0
15,1,0,0
16,1,0,0
17,1,0,0
18,0,0,0
19,1,0,0
20,1,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,1,0,0
28,1,0,0
29,0,0,0
30,1,1,0.20666666666666672
31,1,1,0.050000000000000044
32,0,0,0
33,0,0,0
34,1,0,0
35,1,1,0.016666666666666607
36,1,1,0.07333333333333347
37,0,0,0
38,0,0,0
39,1,0,0
40,0,0,0
41,1,0,0
42,1,0,0
43,1,0,0
44,1,0,0
45,1,1,0.14000000000000007
46,1,1,0.06666666666666665
47,1,1,0.050000000000000044
48,0,0,0
49,0,1,0.01666666666666672
50,0,0,0
