Election,BTVA_found,ATVA_found,Improvement
1,1,1,0.18749999999999994
2,1,1,0.175
3,1,1,0.054166666666666585
4,1,0,0
5,1,0,0
6,1,1,0.27083333333333326
7,1,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,1,1,0.3041666666666666
13,0,0,0
14,0,0,0
15,1,1,0.03333333333333338
16,1,0,0
17,1,1,0.31249999999999994
18,0,0,0
19,1,0,0
20,1,1,1.1102230246251565e-16
21,1,1,0.22083333333333333
22,0,0,0
23,1,0,0
24,0,0,0
25,1,1,0.13749999999999996
26,1,0,0
27,1,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,1,1,0.10416666666666663
32,1,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,1,0,0
38,1,1,0.13333333333333341
39,0,0,0
40,0,0,0
41,0,0,0
42,1,1,0.2416666666666667
43,1,1,0.29166666666666674
44,1,1,0.06250000000000006
45,0,1,0.21666666666666679
46,0,0,0
47,1,1,0.18750000000000006
48,1,1,0.050000000000000044
49,1,0,0
50,1,0,0
