Election,BTVA_found,ATVA_found,Improvement
1,1,0,0
2,1,0,0
3,1,1,0.06250000000000006
4,0,0,0
5,0,0,0
6,0,0,0
7,1,0,0
8,1,1,0.09166666666666673
9,1,0,0
10,1,1,0.02083333333333337
11,0,0,0
12,0,0,0
13,0,0,0
14,1,0,0
15,1,1,0.11666666666666664
16,1,0,0
17,1,1,0.07499999999999996
18,0,0,0
19,0,0,0
20,0,0,0
21,1,0,0
22,1,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,1,0,0
27,1,0,0
28,1,0,0
29,1,0,0
30,0,0,0
31,0,0,0
32,1,0,0
33,0,0,0
34,1,0,0
35,1,1,0.1166666666666667
36,0,0,0
37,0,0,0
38,1,0,0
39,0,0,0
40,0,0,0
41,1,1,0.11666666666666664
42,1,0,0
43,0,0,0
44,0,0,0
45,1,1,0.10416666666666674
46,1,1,0.17083333333333328
47,1,1,0.10416666666666669
48,1,0,0
49,1,0,0
50,1,1,0.09583333333333327
