Election,BTVA_found,ATVA_found,Improvement
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,1,1,0.14583333333333337
6,1,1,0.04166666666666663
7,0,0,0
8,0,0,0
9,0,0,0
10,1,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,1,1,0.02083333333333337
16,0,0,0
17,1,0,0
18,1,1,0.0625
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,1,0,0
24,0,0,0
25,1,1,0.10416666666666674
26,1,1,0.0625
27,0,0,0
28,1,1,0.08333333333333326
29,1,0,0
30,0,0,0
31,1,1,0.375
32,0,1,0.0625
33,0,0,0
34,0,0,0
35,0,0,0
36,1,0,0
37,1,1,0.20833333333333337
38,0,0,0
39,1,0,0
40,1,0,0
41,1,0,0
42,0,0,0
43,1,0,0
44,1,1,0.16666666666666674
45,0,0,0
46,1,0,0
47,1,1,0.27083333333333326
48,1,1,0.08333333333333326
49,1,0,0
50,1,1,1.1102230246251565e-16
