Election,BTVA_found,ATVA_found,Improvement
1,1,1,0.14285714285714285
2,0,1,0.04421768707482987
3,0,1,0.03809523809523807
4,0,0,0
5,1,1,0.01666666666666672
6,0,1,0.020408163265306145
7,0,0,0
8,0,0,0
9,0,0,0
10,1,1,0.06054421768707485
11,1,0,0
12,1,0,0
13,0,0,0
14,0,1,0.06326530612244896
15,1,0,0
16,0,0,0
17,1,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,1,0.03231292517006801
22,0,1,0.07482993197278909
23,1,0,0
24,0,0,0
25,1,0,0
26,0,0,0
27,1,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,1,0,0
33,0,0,0
34,1,1,0.16088435374149657
35,0,1,0.042857142857142816
36,0,0,0
37,0,0,0
38,0,0,0
39,0,1,0.12346938775510202
40,1,1,0.02006802721088441
41,1,0,0
42,1,1,0.1595238095238095
43,0,0,0
44,0,0,0
45,0,1,0.04421768707482987
46,1,0,0
47,0,1,0.017006802721088454
48,0,1,0.03435374149659859
49,1,0,0
50,1,1,0.11530612244897964
