Election,BTVA_found,ATVA_found,Improvement
1,1,0,0
2,1,0,0
3,1,1,0.050000000000000044
4,0,0,0
5,0,0,0
6,0,0,0
7,1,0,0
8,1,1,0.026666666666666616
9,1,0,0
10,1,1,0.08999999999999997
11,0,0,0
12,1,0,0
13,0,0,0
14,0,0,0
15,1,0,0
16,1,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,1,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,1,1,0.07666666666666677
25,0,0,0
26,1,0,0
27,1,0,0
28,0,0,0
29,1,1,0.08333333333333337
30,0,0,0
31,1,0,0
32,1,1,0.05666666666666664
33,1,0,0
34,0,0,0
35,1,1,0.07333333333333336
36,0,0,0
37,1,0,0
38,1,0,0
39,0,0,0
40,1,1,0.11333333333333334
41,1,0,0
42,1,1,0.056666666666666754
43,0,0,0
44,0,0,0
45,1,1,0.016666666666666607
46,1,1,0.006666666666666599
47,1,1,0.04999999999999993
48,0,0,0
49,0,1,0.08000000000000007
50,0,0,0
