Election,BTVA_found,ATVA_found,Improvement
1,1,0,0
2,1,0,0
3,0,0,0
4,1,1,0.17142857142857149
5,0,0,0
6,1,0,0
7,0,1,0.1476190476190476
8,1,1,0.03571428571428581
9,1,1,0.09523809523809523
10,1,0,0
11,1,1,0.05952380952380959
12,0,0,0
13,1,0,0
14,1,0,0
15,1,0,0
16,1,0,0
17,1,1,0.07142857142857145
18,1,0,0
19,1,0,0
20,0,0,0
21,0,0,0
22,1,0,0
23,1,0,0
24,1,0,0
25,1,0,0
26,0,0,0
27,1,1,0.04761904761904756
28,1,1,0.0357142857142857
29,1,1,0.011904761904761973
30,1,1,0.0952380952380954
31,1,0,0
32,1,1,0.04761904761904756
33,1,0,0
34,1,1,0.052380952380952306
35,1,0,0
36,0,0,0
37,1,1,0.07619047619047631
38,1,1,0.1428571428571429
39,0,0,0
40,1,0,0
41,1,0,0
42,1,1,0.04761904761904756
43,1,1,0.19047619047619058
44,1,1,0.05238095238095264
45,0,0,0
46,1,1,0.08809523809523806
47,1,1,0.10714285714285698
48,1,1,0.07142857142857145
49,1,1,0.11904761904761901
50,1,0,0
