Election,BTVA_found,ATVA_found,Improvement
1,0,1,0.041666666666666685
2,1,0,0
3,0,1,0.0222222222222222
4,1,0,0
5,1,1,0.01388888888888884
6,0,0,0
7,1,0,0
8,0,0,0
9,1,0,0
10,1,1,0.04285714285714293
11,0,1,0.15674603174603174
12,1,0,0
13,0,0,0
14,1,1,0.09166666666666673
15,1,1,0.14563492063492067
16,1,1,0.09841269841269845
17,1,0,0
18,0,0,0
19,1,0,0
20,0,0,0
21,1,1,0.02380952380952378
22,0,1,0.047222222222222276
23,1,0,0
24,0,0,0
25,1,0,0
26,1,1,0.017857142857142905
27,1,1,0.2900793650793651
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,1,0,0
33,0,0,0
34,1,1,0.032142857142857195
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,1,0.015079365079365192
40,0,0,0
41,1,0,0
42,1,1,0.09563492063492068
43,0,0,0
44,0,0,0
45,0,1,0.10158730158730145
46,1,0,0
47,1,1,0.16269841269841273
48,0,0,0
49,1,0,0
50,1,1,0.1289682539682539
