Election,BTVA_found,ATVA_found,Improvement
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,1,1,0.016666666666666607
10,1,1,0.08333333333333326
11,1,1,0.08333333333333337
12,0,0,0
13,0,0,0
14,0,0,0
15,1,0,0
16,0,0,0
17,1,0,0
18,1,0,0
19,1,0,0
20,1,0,0
21,1,0,0
22,0,0,0
23,1,0,0
24,1,1,0.033333333333333326
25,0,0,0
26,0,0,0
27,0,0,0
28,1,0,0
29,1,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,1,0,0
37,1,0,0
38,1,0,0
39,1,0,0
40,1,0,0
41,1,0,0
42,0,0,0
43,1,0,0
44,1,0,0
45,0,0,0
46,1,0,0
47,1,0,0
48,1,0,0
49,1,0,0
50,1,0,0
