scheme,avg_happiness,strategic_percent,avg_risk,avg_improvement
Plurality,0.6586666666666666,44.0,-0.018999999999999996,0.18939393939393942
Voting for Two,0.6389999999999999,48.0,0.01133333333333333,0.37847222222222215
Anti-Plurality,0.6353333333333335,40.0,0.0009999999999999998,0.36666666666666675
Borda,0.6730000000000002,40.0,-0.017,0.3833333333333334
