n,m,avg_happiness,strategic_percent,avg_risk,avg_improvement,strategic_count,trials
3,3,0.7666666666666666,34.0,-0.03666666666666669,0.5,17,50
5,3,0.6920000000000001,28.000000000000004,0.013333333333333326,0.5,14,50
5,4,0.5883333333333334,48.0,0.01999999999999999,0.4444444444444444,24,50
10,4,0.5689999999999997,50.0,-0.012666666666666668,0.4,25,50
10,5,0.5125666666666667,72.0,-0.00439999999999999,0.4490740740740741,36,50
20,5,0.5028999999999999,46.0,-0.016316666666666674,0.40942028985507245,23,50
